episode,step,speed,raw_policy_throttle,raw_policy_brake,policy_throttle,policy_brake,final_throttle,final_brake,raw_pedal,applied_pedal,front_gap,min_ttc,shield_ttc,dsafe_d,ttc_shield_fired,dsafe_active
0,153,5.6135,0.351,0.075,0.2959,0.0,0.2959,0.0,0.276,0.2959,0.0,1.0,nan,nan,0,0
0,154,5.5739,0.4394,0.0553,0.382,0.0,0.382,0.0,0.3841,0.382,0.0,1.0,nan,nan,0,0
0,155,5.589,0.5827,0.0496,0.5024,0.0,0.5024,0.0,0.5331,0.5024,0.0,1.0,nan,nan,0,0
0,156,5.6311,0.2019,0.0215,0.3221,0.0,0.3221,0.0,0.1804,0.3221,0.0,1.0,nan,nan,0,0
0,157,5.6285,0.1827,0.0202,0.2385,0.0,0.2385,0.0,0.1625,0.2385,0.0,1.0,nan,nan,0,0
0,158,5.5818,0.2081,0.0399,0.2202,0.0,0.2202,0.0,0.1682,0.2202,0.0,1.0,nan,nan,0,0
0,159,5.5067,0.2019,0.0503,0.2092,0.0,0.2092,0.0,0.1516,0.2092,0.0,1.0,nan,nan,0,0
0,160,5.4131,0.1937,0.0697,0.1999,0.0,0.1999,0.0,0.124,0.1999,0.0,1.0,nan,nan,0,0
0,161,5.3185,0.3042,0.0216,0.2625,0.0,0.2625,0.0,0.2826,0.2625,0.0,1.0,nan,nan,0,0
0,162,5.2654,0.6629,0.0134,0.5027,0.0,0.5027,0.0,0.6495,0.5027,0.0,1.0,nan,nan,0,0
0,163,5.3296,0.7779,0.0185,0.6678,0.0,0.6678,0.0,0.7594,0.6678,0.0,1.0,nan,nan,0,0
0,164,5.4707,0.2812,0.0116,0.4358,0.0,0.4358,0.0,0.2696,0.4358,0.0,1.0,nan,nan,0,0
0,165,5.5928,0.4634,0.0155,0.4524,0.0,0.4524,0.0,0.4479,0.4524,0.0,1.0,nan,nan,0,0
0,166,5.7285,0.6046,0.0107,0.5437,0.0,0.5437,0.0,0.5939,0.5437,0.0,1.0,nan,nan,0,0
0,167,5.8906,0.5103,0.0598,0.5236,0.0,0.5236,0.0,0.4505,0.5236,0.0,1.0,nan,nan,0,0
0,168,6.0163,0.2011,0.018,0.3301,0.0,0.3301,0.0,0.1831,0.3301,0.0,1.0,nan,nan,0,0
0,169,6.0729,0.3377,0.0521,0.3347,0.0,0.3347,0.0,0.2856,0.3347,0.0,1.0,nan,nan,0,0
0,170,6.0793,0.2082,0.0335,0.2588,0.0,0.2588,0.0,0.1747,0.2588,0.0,1.0,nan,nan,0,0
0,171,6.043,0.2545,0.0141,0.2562,0.0,0.2562,0.0,0.2404,0.2562,0.0,1.0,nan,nan,0,0
0,172,5.985,0.1413,0.0424,0.1872,0.0,0.1872,0.0,0.0989,0.1872,0.0,1.0,nan,nan,0,0
0,173,5.8927,0.1131,0.024,0.1427,0.0,0.1427,0.0,0.0891,0.1427,0.0,1.0,nan,nan,0,0
0,174,5.765,0.1715,0.0418,0.16,0.0,0.16,0.0,0.1297,0.16,0.0,1.0,nan,nan,0,0
0,175,5.6162,0.1351,0.048,0.145,0.0,0.145,0.0,0.0871,0.145,0.0,1.0,nan,nan,0,0
0,176,5.4602,0.1479,0.0603,0.1468,0.0,0.1468,0.0,0.0876,0.1468,0.0,1.0,nan,nan,0,0
0,177,5.3125,0.2717,0.0492,0.2217,0.0,0.2217,0.0,0.2225,0.2217,0.0,1.0,nan,nan,0,0
0,178,5.2078,0.5589,0.0523,0.424,0.0,0.424,0.0,0.5066,0.424,0.0,1.0,nan,nan,0,0
0,179,5.1498,0.1836,0.1181,0.2798,0.0,0.2798,0.0,0.0655,0.2798,0.0,1.0,nan,nan,0,0
0,180,5.1032,0.3716,0.138,0.3349,0.0,0.3349,0.0,0.2336,0.3349,0.0,1.0,nan,nan,0,0
